Categoría: Cientología

Día,Geo: Portugal
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,49
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,100
2019-01-08,38
2019-01-09,56
2019-01-10,64
2019-01-11,0
2019-01-12,0
2019-01-13,0
2019-01-14,99
2019-01-15,56
2019-01-16,49
2019-01-17,46
2019-01-18,55
2019-01-19,44
2019-01-20,0
2019-01-21,76
2019-01-22,73
2019-01-23,73
2019-01-24,44
2019-01-25,83
2019-01-26,42
2019-01-27,0
2019-01-28,60
2019-01-29,80
2019-01-30,71
2019-01-31,44
2019-02-01,45
2019-02-02,0
2019-02-03,0
2019-02-04,80
2019-02-05,84
2019-02-06,50
2019-02-07,66
2019-02-08,72
2019-02-09,0
2019-02-10,0
2019-02-11,55
2019-02-12,49
2019-02-13,69
2019-02-14,58
2019-02-15,37
2019-02-16,46
2019-02-17,0
2019-02-18,76
2019-02-19,55
2019-02-20,70
2019-02-21,50
2019-02-22,51
2019-02-23,39
2019-02-24,0
2019-02-25,73
2019-02-26,66
2019-02-27,49
2019-02-28,57
2019-03-01,52
2019-03-02,0
2019-03-03,0
2019-03-04,41
2019-03-05,36
2019-03-06,62
2019-03-07,62
2019-03-08,0
2019-03-09,0
2019-03-10,0
2019-03-11,79
2019-03-12,38
2019-03-13,48
2019-03-14,57
2019-03-15,48
2019-03-16,0
2019-03-17,48
2019-03-18,51
2019-03-19,57
2019-03-20,63
2019-03-21,63
2019-03-22,47
2019-03-23,0
2019-03-24,0
2019-03-25,56
2019-03-26,60
2019-03-27,0
2019-03-28,65
2019-03-29,42
2019-03-30,0
2019-03-31,0
2019-04-01,57
2019-04-02,56
2019-04-03,38
2019-04-04,47
2019-04-05,70
2019-04-06,0
2019-04-07,0
2019-04-08,47
2019-04-09,48
2019-04-10,82
