Categoría: Cientología

Día,Geo: España
2018-12-30,100
2018-12-31,78
2019-01-01,67
2019-01-02,74
2019-01-03,67
2019-01-04,67
2019-01-05,53
2019-01-06,69
2019-01-07,53
2019-01-08,56
2019-01-09,59
2019-01-10,57
2019-01-11,68
2019-01-12,45
2019-01-13,60
2019-01-14,64
2019-01-15,53
2019-01-16,57
2019-01-17,63
2019-01-18,55
2019-01-19,62
2019-01-20,65
2019-01-21,74
2019-01-22,61
2019-01-23,54
2019-01-24,59
2019-01-25,70
2019-01-26,52
2019-01-27,52
2019-01-28,64
2019-01-29,60
2019-01-30,75
2019-01-31,63
2019-02-01,66
2019-02-02,53
2019-02-03,53
2019-02-04,51
2019-02-05,68
2019-02-06,67
2019-02-07,67
2019-02-08,57
2019-02-09,51
2019-02-10,70
2019-02-11,56
2019-02-12,51
2019-02-13,54
2019-02-14,55
2019-02-15,58
2019-02-16,57
2019-02-17,61
2019-02-18,68
2019-02-19,52
2019-02-20,71
2019-02-21,66
2019-02-22,60
2019-02-23,41
2019-02-24,53
2019-02-25,49
2019-02-26,57
2019-02-27,71
2019-02-28,62
2019-03-01,58
2019-03-02,45
2019-03-03,59
2019-03-04,59
2019-03-05,63
2019-03-06,75
2019-03-07,65
2019-03-08,72
2019-03-09,54
2019-03-10,59
2019-03-11,58
2019-03-12,64
2019-03-13,49
2019-03-14,59
2019-03-15,75
2019-03-16,64
2019-03-17,50
2019-03-18,72
2019-03-19,62
2019-03-20,55
2019-03-21,70
2019-03-22,58
2019-03-23,54
2019-03-24,64
2019-03-25,72
2019-03-26,66
2019-03-27,58
2019-03-28,63
2019-03-29,77
2019-03-30,65
2019-03-31,43
2019-04-01,76
2019-04-02,62
2019-04-03,60
2019-04-04,60
2019-04-05,56
2019-04-06,64
2019-04-07,67
2019-04-08,67
2019-04-09,61
2019-04-10,70
