Categoría: Cientología

Semana,Geo: Reino Unido
2018-12-30,100
2019-01-06,96
2019-01-13,90
2019-01-20,87
2019-01-27,85
2019-02-03,82
2019-02-10,79
2019-02-17,76
2019-02-24,73
2019-03-03,75
2019-03-10,70
2019-03-17,70
2019-03-24,78
2019-03-31,74
2019-04-07,75
2019-04-14,68
2019-04-21,63
2019-04-28,64
2019-05-05,63
2019-05-12,62
2019-05-19,69
2019-05-26,67
2019-06-02,73
2019-06-09,72
2019-06-16,70
2019-06-23,72
2019-06-30,70
2019-07-07,73
2019-07-14,76
2019-07-21,83
2019-07-28,87
2019-08-04,87
2019-08-11,87
2019-08-18,77
2019-08-25,73
2019-09-01,67
2019-09-08,75
2019-09-15,71
2019-09-22,72
2019-09-29,75
2019-10-06,76
2019-10-13,78
2019-10-20,84
2019-10-27,90
2019-11-03,95
2019-11-10,96
2019-11-17,70
2019-11-24,93
2019-12-01,87
2019-12-08,76
2019-12-15,75
2019-12-22,76
2019-12-29,92
2020-01-05,91
2020-01-12,92
2020-01-19,94
2020-01-26,87
2020-02-02,85
2020-02-09,78
2020-02-16,84
2020-02-23,77
2020-03-01,80
2020-03-08,67
2020-03-15,57
2020-03-22,47
2020-03-29,52
2020-04-05,53
